id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.district,children_count.commune,zip_codes,geo.lat,geo.lon
0603,2,ស្រុក,District,ស្ទឹងសែន,Stueng Saen,stueng-saen-0603,0603,,06,កំពង់ធំ,Kampong Thom,,,8,,12.7126242,104.8891082
0604,2,ស្រុក,District,ប្រាសាទបល្ល័ង្គ,Prasat Ballangk,prasat-ballangk-0604,0604,,06,កំពង់ធំ,Kampong Thom,,,7,,12.9782682,104.941493
0605,2,ស្រុក,District,ប្រាសាទសំបូរ,Prasat Sambour,prasat-sambour-0605,0605,,06,កំពង់ធំ,Kampong Thom,,,5,,12.8857488,105.0679436
0606,2,ស្រុក,District,សណ្ដាន់,Sandan,sandan-0606,0606,,06,កំពង់ធំ,Kampong Thom,,,9,,13.1006423,105.245985
0607,2,ស្រុក,District,សន្ទុក,Santuk,santuk-0607,0607,,06,កំពង់ធំ,Kampong Thom,,,10,,12.5628043,105.049388
0608,2,ស្រុក,District,ស្ទោង,Stoung,stoung-0608,0608,,06,កំពង់ធំ,Kampong Thom,,,13,,12.9389734,104.5716049
0609,2,ស្រុក,District,តាំងគោក,Tang Kouk,tang-kouk-0609,0609,,06,កំពង់ធំ,Kampong Thom,,,8,,,
07,1,ខេត្ត,Province,កំពត,Kampot,kampot-07,07,,,,,,9,93,,10.6314754,104.132637
0701,2,ស្រុក,District,អង្គរជ័យ,Angkor Chey,angkor-chey-0701,0701,,07,កំពត,Kampot,,,11,,10.8393757,104.6545648
0702,2,ស្រុក,District,បន្ទាយមាស,Banteay Meas,banteay-meas-0702,0702,,07,កំពត,Kampot,,,15,,10.6731987,104.5571703
0703,2,ស្រុក,District,ឈូក,Chhuk,chhuk-0703,0703,,07,កំពត,Kampot,,,15,,10.8359739,104.4548114
0704,2,ស្រុក,District,ជុំគិរី,Chum Kiri,chum-kiri-0704,0704,,07,កំពត,Kampot,,,7,,10.9239398,104.4190765
0705,2,ស្រុក,District,ដងទង់,Dang Tong,dang-tong-0705,0705,,07,កំពត,Kampot,,,10,,10.7035925,104.4459825
0706,2,ស្រុក,District,កំពង់ត្រាច,Kampong Trach,kampong-trach-0706,0706,,07,កំពត,Kampot,,,14,,10.5571918,104.4678996
0707,2,ស្រុក,District,ទឹកឈូ,Tuek Chhou,tuek-chhou-0707,0707,,07,កំពត,Kampot,,,13,,10.6040823,104.2496624
0708,2,ស្រុក,District,កំពត,Kampot,kampot-0708,0708,,07,កំពត,Kampot,,,5,,10.6183061,104.1797339
0709,2,ស្រុក,District,បូកគោ,Bokor,bokor-0709,0709,,07,កំពត,Kampot,,,3,,,
08,1,ខេត្ត,Province,កណ្តាល,Kandal,kandal-08,08,,,,,,13,127,,11.396262499999999,105.02078685074581
0801,2,ស្រុក,District,កណ្ដាលស្ទឹង,Kandal Stueng,kandal-stueng-0801,0801,,08,កណ្តាល,Kandal,,,18,,11.4110928,104.8330526
0802,2,ស្រុក,District,កៀនស្វាយ,Kien Svay,kien-svay-0802,0802,,08,កណ្តាល,Kandal,,,8,,11.5099783,105.0499924
0803,2,ស្រុក,District,ខ្សាច់កណ្ដាល,Khsach Kandal,khsach-kandal-0803,0803,,08,កណ្តាល,Kandal,,,12,,11.7503523,105.0169623
0804,2,ស្រុក,District,កោះធំ,Kaoh Thum,kaoh-thum-0804,0804,,08,កណ្តាល,Kandal,,,6,,11.1256716,105.0555595
0805,2,ស្រុក,District,លើកដែក,Leuk Daek,leuk-daek-0805,0805,,08,កណ្តាល,Kandal,,,7,,11.1778929,105.2277136
0806,2,ស្រុក,District,ល្វាឯម,Lvea Aem,lvea-aem-0806,0806,,08,កណ្តាល,Kandal,,,10,,11.5430427,105.0485316
0807,2,ស្រុក,District,មុខកំពូល,Mukh Kampul,mukh-kampul-0807,0807,,08,កណ្តាល,Kandal,,,7,,11.72978,104.9664012
0808,2,ស្រុក,District,អង្គស្នួល,Angk Snuol,angk-snuol-0808,0808,,08,កណ្តាល,Kandal,,,10,,11.5078333,104.7157787
0809,2,ស្រុក,District,ពញាឮ,Ponhea Lueu,ponhea-lueu-0809,0809,,08,កណ្តាល,Kandal,,,11,,11.8197347,104.7974776
0810,2,ស្រុក,District,ស្អាង,S'ang,sang-0810,0810,,08,កណ្តាល,Kandal,,,12,,11.3605612,105.0037187
0811,2,ស្រុក,District,តាខ្មៅ,Ta Khmau,ta-khmau-0811,0811,,08,កណ្តាល,Kandal,,,10,,11.4687395,104.9451162
0812,2,ស្រុក,District,សំពៅពូន,Sampeou Poun,sampeou-poun-0812,0812,,08,កណ្តាល,Kandal,,,5,,,
0813,2,ស្រុក,District,អរិយក្សត្រ,Akreiy Ksatr,akreiy-ksatr-0813,0813,,08,កណ្តាល,Kandal,,,11,,,
09,1,ខេត្ត,Province,កោះកុង,Koh Kong,koh-kong-09,09,,,,,,7,29,,11.6813417,103.0258043
0901,2,ស្រុក,District,បុទុមសាគរ,Botum Sakor,botum-sakor-0901,0901,,09,កោះកុង,Koh Kong,,,4,,11.1910731,103.4626525
0902,2,ស្រុក,District,គិរីសាគរ,Kiri Sakor,kiri-sakor-0902,0902,,09,កោះកុង,Koh Kong,,,3,,10.9422524,103.1004568
0903,2,ស្រុក,District,កោះកុង,Kaoh Kong,kaoh-kong-0903,0903,,09,កោះកុង,Koh Kong,,,4,,11.4560302,103.122046
0904,2,ស្រុក,District,ខេមរភូមិន្ទ,Khemara Phoumin,khemara-phoumin-0904,0904,,09,កោះកុង,Koh Kong,,,3,,11.6110095,102.9818592
0905,2,ស្រុក,District,មណ្ឌលសីមា,Mondol Seima,mondol-seima-0905,0905,,09,កោះកុង,Koh Kong,,,3,,11.5698303,102.9539371
0906,2,ស្រុក,District,ស្រែ អំបិល,Srae Ambel,srae-ambel-0906,0906,,09,កោះកុង,Koh Kong,,,6,,11.4655178,103.8216261
0907,2,ស្រុក,District,ថ្មបាំង,Thma Bang,thma-bang-0907,0907,,09,កោះកុង,Koh Kong,,,6,,11.6893621,103.438509
10,1,ខេត្ត,Province,ក្រចេះ,Kratié,krati-10,10,,,,,,7,48,,12.678301699999999,106.05817329824376
1001,2,ស្រុក,District,ឆ្លូង,Chhloung,chhloung-1001,1001,,10,ក្រចេះ,Kratié,,,8,,12.2570238,105.9606057
1002,2,ស្រុក,District,ក្រចេះ,Kracheh,kracheh-1002,1002,,10,ក្រចេះ,Kratié,,,5,,12.4889566,106.0200894
1003,2,ស្រុក,District,ព្រែកប្រសព្វ,Prek Prasab,prek-prasab-1003,1003,,10,ក្រចេះ,Kratié,,,8,,12.3504569,106.0298985
1004,2,ស្រុក,District,សំបូរ,Sambour,sambour-1004,1004,,10,ក្រចេះ,Kratié,,,6,,12.7751998,105.965196
1005,2,ស្រុក,District,ស្នួល,Snuol,snuol-1005,1005,,10,ក្រចេះ,Kratié,,,6,,12.0722176,106.4204015
1006,2,ស្រុក,District,ចិត្របុរី,Chetr Borei,chetr-borei-1006,1006,,10,ក្រចេះ,Kratié,,,10,,12.4680352,106.1742334
1007,2,ស្រុក,District,អូរគ្រៀងសែនជ័យ,Ou Krieng Saenchey,ou-krieng-saenchey-1007,1007,,10,ក្រចេះ,Kratié,,,5,,,
11,1,ខេត្ត,Province,មណ្ឌលគិរី,Mondulkiri,mondulkiri-11,11,,,,,,5,21,,12.7396454,107.00882593208544
1101,2,ស្រុក,District,កែវសីមា,Kaev Seima,kaev-seima-1101,1101,,11,មណ្ឌលគិរី,Mondulkiri,,,5,,,
1102,2,ស្រុក,District,កោះញែក,Kaoh Nheaek,kaoh-nheaek-1102,1102,,11,មណ្ឌលគិរី,Mondulkiri,,,6,,13.0803581,107.0451837
1103,2,ស្រុក,District,អូររាំង,Ou Reang,ou-reang-1103,1103,,11,មណ្ឌលគិរី,Mondulkiri,,,2,,12.3320472,107.1645963
1104,2,ស្រុក,District,ពេជ្រាដា,Pech Chreada,pech-chreada-1104,1104,,11,មណ្ឌលគិរី,Mondulkiri,,,4,,12.5392225,107.427935
1105,2,ស្រុក,District,សែនមនោរម្យ,Saen Monourom,saen-monourom-1105,1105,,11,មណ្ឌលគិរី,Mondulkiri,,,4,,12.4568561,107.1865184
12,1,ខេត្ត,Province,ភ្នំពេញ,Phnom Penh,phnom-penh-12,12,,,,,,14,105,,11.5730391,104.857807
1201,2,ស្រុក,District,ចំការមន,Chamkar Mon,chamkar-mon-1201,1201,,12,ភ្នំពេញ,Phnom Penh,,,5,,11.5373071,104.9208767
1202,2,ស្រុក,District,ដូនពេញ,Doun Penh,doun-penh-1202,1202,,12,ភ្នំពេញ,Phnom Penh,,,11,,11.5772693,104.9194273
1203,2,ស្រុក,District,៧មករា,Prampir Meakkakra,prampir-meakkakra-1203,1203,,12,ភ្នំពេញ,Phnom Penh,,,8,,11.5637649,104.9106689
1204,2,ស្រុក,District,ទួលគោក,Tuol Kouk,tuol-kouk-1204,1204,,12,ភ្នំពេញ,Phnom Penh,,,10,,11.5738692,104.8996872
1205,2,ស្រុក,District,ដង្កោ,Dangkao,dangkao-1205,1205,,12,ភ្នំពេញ,Phnom Penh,,,12,,11.5057732,104.891422
1206,2,ស្រុក,District,មានជ័យ,Mean Chey,mean-chey-1206,1206,,12,ភ្នំពេញ,Phnom Penh,,,7,,11.5315089,104.8984702
1207,2,ស្រុក,District,ឫស្សីកែវ,Russey Keo,russey-keo-1207,1207,,12,ភ្នំពេញ,Phnom Penh,,,7,,11.6287927,104.9037583
1208,2,ស្រុក,District,សែនសុខ,Sen Sok,sen-sok-1208,1208,,12,ភ្នំពេញ,Phnom Penh,,,6,,11.5785557,104.8692475
1209,2,ស្រុក,District,ពោធិ៍សែនជ័យ,Pur SenChey,pur-senchey-1209,1209,,12,ភ្នំពេញ,Phnom Penh,,,7,,11.5538562,104.826722
1210,2,ស្រុក,District,ជ្រោយចង្វារ,Chrouy Changvar,chrouy-changvar-1210,1210,,12,ភ្នំពេញ,Phnom Penh,,,5,,11.6586259,104.9092633
1211,2,ស្រុក,District,ព្រែកព្នៅ,Praek Pnov,praek-pnov-1211,1211,,12,ភ្នំពេញ,Phnom Penh,,,5,,11.6591915,104.8608617
1212,2,ស្រុក,District,ច្បារអំពៅ,Chbar Ampov,chbar-ampov-1212,1212,,12,ភ្នំពេញ,Phnom Penh,,,8,,11.5228263,104.9667447
1213,2,ស្រុក,District,បឹងកេងកង,Boeng Keng Kang,boeng-keng-kang-1213,1213,,12,ភ្នំពេញ,Phnom Penh,,,7,,11.5489263,104.9113011
1214,2,ស្រុក,District,កំបូល,Kamboul,kamboul-1214,1214,,12,ភ្នំពេញ,Phnom Penh,,,7,,11.5363753,104.770603
13,1,ខេត្ត,Province,ព្រះវិហារ,Preah Vihear,preah-vihear-13,13,,,,,,8,51,,13.746298150000001,104.97403002709669
1301,2,ស្រុក,District,ជ័យសែន,Chey Saen,chey-saen-1301,1301,,13,ព្រះវិហារ,Preah Vihear,,,6,,13.6510167,105.2588244
1302,2,ស្រុក,District,ឆែប,Chhaeb,chhaeb-1302,1302,,13,ព្រះវិហារ,Preah Vihear,,,8,,13.8833353,105.3308329
1303,2,ស្រុក,District,ជាំក្សាន្ដ,Choam Ksant,choam-ksant-1303,1303,,13,ព្រះវិហារ,Preah Vihear,,,8,,14.2172713,104.9430841
1304,2,ស្រុក,District,គូលែន,Kuleaen,kuleaen-1304,1304,,13,ព្រះវិហារ,Preah Vihear,,,6,,13.818762,104.6996781
1305,2,ស្រុក,District,រវៀង,Rovieng,rovieng-1305,1305,,13,ព្រះវិហារ,Preah Vihear,,,12,,13.3488486,105.1084435
1306,2,ស្រុក,District,សង្គមថ្មី,Sangkum Thmei,sangkum-thmei-1306,1306,,13,ព្រះវិហារ,Preah Vihear,,,5,,13.5817856,104.9046589
1307,2,ស្រុក,District,ត្បែងមានជ័យ,Tbaeng Mean Chey,tbaeng-mean-chey-1307,1307,,13,ព្រះវិហារ,Preah Vihear,,,4,,13.8569139,105.0217438
1308,2,ស្រុក,District,ព្រះវិហារ,Preah Vihear,preah-vihear-1308,1308,,13,ព្រះវិហារ,Preah Vihear,,,2,,13.8012643,104.9742871
14,1,ខេត្ត,Province,ព្រៃវែង,Prey Veng,prey-veng-14,14,,,,,,13,116,,11.365959700000001,105.45572772976189
1401,2,ស្រុក,District,បាភ្នំ,Ba Phnum,ba-phnum-1401,1401,,14,ព្រៃវែង,Prey Veng,,,9,,11.2580467,105.3989267
